,SRC,DST
3554,19089,19191
3556,19089,27099
3577,19099,19123
3578,19099,19125
3580,19099,19153
3583,19099,19171
3585,19101,19107
3588,19101,19183
3597,19107,19123
3600,19107,19183
3613,19115,19139
3614,19115,19183
3616,19117,19125
3617,19117,19135
3619,19117,19185
3629,19121,19153
3630,19121,19175
3633,19123,19125
3634,19123,19135
3638,19125,19135
3639,19125,19153
3646,19129,19137
3649,19129,31025
3650,19129,31153
3653,19131,27099
3660,19135,19185
3664,19137,19173
3666,19139,19163
3686,19151,19161
3699,19159,19173
3700,19159,19175
3712,19173,19175
3713,19173,29147
3734,19191,27055
3767,20007,20033
3768,20007,20077
3769,20007,20095
3770,20007,20097
3773,20007,40151
3775,20009,20053
3776,20009,20145
3777,20009,20159
3778,20009,20165
3780,20009,20185
3806,20019,20035
3807,20019,20049
3808,20019,20125
3810,20019,40147
3823,20025,20033
3824,20025,20057
3825,20025,20097
3826,20025,20119
3827,20025,40007
3841,20029,20201
3849,20033,20097
3851,20033,40151
3853,20035,20049
3854,20035,20173
3855,20035,20191
3856,20035,40071
3867,20039,20179
3868,20039,20193
3869,20039,31065
3872,20041,20061
3873,20041,20113
3874,20041,20115
3875,20041,20127
3879,20043,29003
3882,20043,31147
3885,20045,20087
3886,20045,20091
3887,20045,20103
3888,20045,20121
3890,20045,20177
3900,20049,20125
3904,20051,20141
3905,20051,20163
3906,20051,20165
3910,20053,20105
3911,20053,20113
3912,20053,20159
3926,20057,20083
3927,20057,20097
3928,20057,20119
3935,20061,20127
3937,20061,20197
3955,20067,20081
3956,20067,20093
3957,20067,20187
3958,20067,20189
3965,20071,20199
3976,20077,20095
3977,20077,20191
3981,20079,20113
3982,20079,20115
3983,20079,20155
3984,20079,20173
3986,20081,20093
3987,20081,20119
3989,20081,20189
3992,20083,20145
3994,20085,20087
3996,20085,20149
3997,20085,20177
3999,20087,20103
4000,20087,20177
4009,20091,20103
4010,20091,20121
4016,20093,20187
4020,20095,20155
4021,20095,20173
4022,20095,20191
4035,20103,29165
4038,20105,20141
4043,20107,20121
4045,20107,29217
4048,20109,20181
4049,20109,20193
4050,20109,20199
4053,20111,20127
4055,20111,20197
4057,20113,20115
4058,20113,20155
4059,20113,20159
4062,20115,20127
4073,20119,40007
4081,20125,20133
4084,20125,40147
4086,20127,20197
4112,20141,20163
4114,20141,20183
4118,20145,20165
4119,20145,20185
4121,20147,20163
4122,20147,20183
4123,20147,31061
4127,20149,20177
4128,20149,20197
4139,20155,20159
4140,20155,20173
4141,20155,20185
4148,20159,20185
4153,20163,20183
4162,20173,20191
4168,20177,20197
4170,20179,20193
4172,20181,20193
4173,20181,20199
4175,20183,31061
4176,20183,31181
4179,20187,20189
4184,20191,40071
4191,20201,31067
4192,20201,31095
4217,21005,21073
4219,21005,21179
4221,21005,21215
4223,21005,21239
4226,21007,21145
4231,21009,21169
4235,21011,21017
4236,21011,21069
4239,21011,21181
4259,21017,21181
4260,21017,21209
4265,21019,39087
4276,21023,21161
4278,21023,21201
4279,21023,39015
4297,21029,21179
4298,21029,21215
4308,21033,21055
4310,21033,21143
4312,21033,21233
4342,21045,21155
4345,21045,21217
4369,21053,21231
4370,21053,47027
4371,21053,47137
4373,21055,21139
4374,21055,21143
4376,21055,21233
4383,21059,21091
4384,21059,21101
4385,21059,21149
4407,21069,21161
4408,21069,21181
4409,21069,21201
4418,21073,21103
4419,21073,21187
4420,21073,21209
4422,21073,21239
4433,21079,21113
4435,21079,21151
4446,21083,21145
4447,21083,21157
4448,21083,47079
4449,21083,47183
4457,21087,21169
4458,21087,21217
4486,21101,21149
4488,21101,21233
4490,21103,21185
4491,21103,21187
4513,21113,21151
4515,21113,21239
4525,21119,21133
4527,21119,21193
4528,21119,21195
4537,21125,21147
4548,21129,21237
4552,21133,21193
4553,21133,21195
4554,21133,51195
4564,21139,21143
4565,21139,21145
4566,21139,21157
4574,21143,21157
4577,21145,21157
4580,21147,21231
4582,21147,47013
4583,21147,47151
4587,21149,21233
4594,21155,21179
4595,21155,21217
4604,21161,21201
4606,21161,39015
4632,21179,21215
4635,21181,21201
4641,21187,21209
4648,21195,51027
4650,21195,51195
4664,21209,21239
4684,21231,47137
4685,21231,47151
4699,22003,22011
4700,22003,22039
4701,22003,22053
4703,22003,22115
4721,22009,22029
4722,22009,22039
4724,22009,22077
4727,22009,22125
4729,22011,22019
4730,22011,22053
4731,22011,22115
4732,22011,48351
4755,22019,22053
4756,22019,48351
4760,22021,22041
4761,22021,22049
4763,22021,22073
4764,22021,22083
4765,22021,22127
4781,22029,22077
4782,22029,22107
4783,22029,22125
4785,22029,28157
4787,22031,22069
4788,22031,22081
4790,22031,48365
4811,22039,22053
4816,22041,22083
4817,22041,22107
4834,22049,22061
4835,22049,22073
4836,22049,22127
4841,22051,22089
4842,22051,22095
4844,22051,22105
4846,22053,22113
4860,22061,22073
4861,22061,22111
4877,22069,22081
4879,22069,22115
4880,22069,22127
4886,22073,22083
4887,22073,22111
4892,22077,22099
4894,22077,22125
4899,22083,22123
4907,22087,28045
4910,22089,22095
4911,22089,22105
4918,22095,22105
4931,22105,22117
4937,22107,28063
4943,22115,48351
4946,22117,28109
4948,22117,28147
4954,22125,28157
4969,23005,23023
4996,23019,23021
4997,23019,23025
4998,23019,23027
4999,23019,23029
5001,23021,23025
5004,23025,23027
5021,24003,24005
5023,24003,24027
5024,24003,24029
5025,24003,24033
5028,24003,24510
5030,24005,24013
5031,24005,24025
5032,24005,24027
5033,24005,24029
5034,24005,24510
5043,24011,24019
5047,24013,24021
5048,24013,24027
5049,24013,42001
5057,24017,24033
5058,24017,24037
5060,24017,51099
5063,24017,51193
5065,24019,24037
5070,24021,24027
5073,24021,42001
5074,24021,42055
5075,24021,51107
5081,24023,54077
5083,24025,24029
5088,24027,24033
5098,24033,51510
5104,24037,51193
5152,25011,33005
5153,25011,50003
5172,25023,25025
5179,26001,26007
5180,26001,26069
5181,26001,26119
5185,26003,26041
5186,26003,26083
5187,26003,26095
5188,26003,26103
5189,26003,26153
5191,26005,26015
5192,26005,26077
5194,26005,26139
5199,26007,26119
5201,26007,26141
5210,26011,26017
5213,26011,26069
5218,26013,26103
5222,26015,26067
5223,26015,26077
5228,26017,26111
5232,26019,26055
5234,26019,26101
5235,26019,26165
5236,26019,55029
5237,26019,55061
5239,26021,26027
5244,26023,26077
5245,26023,26149
5253,26027,26077
5254,26027,26149
5257,26029,26031
5258,26029,26047
5260,26029,26097
5261,26029,26137
5262,26029,26153
5264,26031,26047
5265,26031,26097
5266,26031,26119
5267,26031,26137
5268,26031,26141
5270,26033,26095
5271,26033,26097
5272,26033,26141
5277,26035,26111
5279,26035,26133
5280,26035,26143
5289,26039,26079
5291,26039,26119
5294,26039,26137
5295,26039,26143
5298,26041,26103
5300,26041,26153
5301,26041,55029
5304,26043,26103
5306,26043,55037
5313,26047,26097
5315,26049,26087
5316,26049,26093
5333,26055,26079
5335,26055,26101
5337,26055,26165
5339,26057,26067
5341,26057,26111
5381,26075,26091
5382,26075,26093
5383,26075,26161
5385,26077,26149
5389,26079,26137
5390,26079,26143
5391,26079,26165
5398,26083,26103
5402,26085,26101
5403,26085,26105
5405,26085,26123
5406,26085,26127
5407,26085,26133
5408,26085,26165
5413,26087,26151
5419,26091,26115
5420,26091,26161
5426,26093,26161
5428,26095,26097
5429,26095,26153
5431,26097,26141
5432,26097,26153
5438,26101,26105
5439,26101,26165
5440,26101,55061
5441,26101,55071
5445,26105,26123
5446,26105,26127
5447,26105,55071
5463,26115,26161
5464,26115,26163
5470,26119,26137
5471,26119,26141
5479,26123,26127
5480,26123,26133
5485,26127,55089
5494,26133,26165
5518,26161,26163
5531,27003,27025
5534,27003,27123
5536,27003,27163
5546,27007,27021
5547,27007,27029
5548,27007,27057
5552,27007,27089
5553,27007,27113
5562,27011,27149
5563,27011,27151
5564,27011,27155
5565,27011,46051
5566,27011,46109
5568,27013,27015
5569,27013,27043
5570,27013,27079
5587,27019,27085
5589,27019,27143
5593,27021,27057
5595,27021,27097
5606,27025,27065
5607,27025,27115
5608,27025,27163
5618,27029,27057
5620,27029,27113
5621,27029,27119
5637,27037,27123
5638,27037,27131
5640,27037,27163
5644,27039,27099
5646,27039,27131
5649,27041,27051
5653,27041,27149
5656,27043,27047
5665,27047,27099
5677,27051,27149
5678,27051,27155
5679,27051,27167
5686,27055,27169
5704,27065,27095
5705,27065,27115
5713,27069,27089
5725,27075,27137
5726,27075,55003
5727,27075,55007
5728,27075,55031
5733,27079,27131
5735,27079,27143
5745,27083,27101
5752,27085,27143
5758,27089,27113
5759,27089,27119
5761,27089,38035
5771,27095,27097
5780,27101,27105
5783,27101,27133
5788,27105,27133
5801,27113,27119
5805,27115,55031
5813,27119,38035
5814,27119,38097
5820,27123,27163
5833,27133,46099
5834,27133,46101
5837,27137,55031
5850,27149,27151
5851,27149,27155
5856,27155,27167
5857,27155,38077
5858,27155,46109
5860,27157,27169
5861,27157,55011
5862,27157,55091
5871,27167,38077
5873,27169,55011
5897,28007,28019
5898,28007,28051
5899,28007,28079
5900,28007,28089
5916,28013,28017
5919,28013,28115
5921,28013,28161
5928,28017,28025
5930,28017,28095
5931,28017,28115
5944,28023,28061
5945,28023,28075
5950,28025,28095
5960,28029,28063
5962,28029,28085
5964,28029,28127
5978,28035,28067
5980,28035,28109
6003,28045,28109
6017,28051,28083
6018,28051,28089
6033,28057,28095
6034,28057,28117
6035,28057,28141
6039,28061,28067
6040,28061,28075
6043,28061,28129
6046,28063,28085
6051,28065,28127
6054,28067,28129
6081,28079,28089
6096,28085,28147
6142,28115,28145
6144,28117,28139
6145,28117,28141
6146,28117,28145
6149,28119,28143
6160,28127,28129
6171,28139,28145
6198,29003,29075
6200,29003,29147
6203,29005,29147
6205,29005,31131
6207,29007,29019
6211,29007,29163
6212,29007,29173
6215,29009,29109
6216,29009,29119
6218,29009,29209
6237,29017,29031
6239,29017,29157
6240,29017,29207
6244,29019,29051
6257,29023,29207
6265,29025,29177
6278,29031,29157
6280,29031,29207
6298,29039,29057
6299,29039,29167
6301,29039,29217
6306,29041,29121
6308,29041,29195
6330,29051,29131
6340,29055,29065
6341,29055,29071
6342,29055,29073
6344,29055,29161
6349,29057,29109
6350,29057,29167
6367,29065,29161
6368,29065,29179
6370,29065,29215
6383,29071,29073
6384,29071,29099
6387,29071,29219
6393,29073,29161
6394,29073,29219
6397,29075,29147
6445,29099,29186
6450,29101,29107
6453,29103,29111
6454,29103,29121
6455,29103,29199
6464,29107,29177
6465,29107,29195
6468,29109,29209
6474,29113,29163
6476,29113,29219
6484,29119,40041
6508,29131,29141
6527,29143,29155
6529,29143,29207
6540,29153,29213
6545,29157,29186
6551,29161,29215
6553,29163,29173
6592,29209,29213
6596,29215,29229
6609,30001,30081
6615,30003,30103
6617,30003,56003
6669,30021,30109
6678,30025,30109
6679,30025,38011
6680,30025,38033
6682,30025,46063
6691,30029,30035
6692,30029,30047
6694,30029,30053
6695,30029,30063
6698,30029,30089
6699,30029,30099
6701,30031,30043
6703,30031,30059
6705,30031,56029
6719,30037,30095
6721,30037,30107
6735,30045,30059
6736,30045,30107
6738,30047,30063
6739,30047,30089
6748,30053,30089
6759,30059,30107
6761,30061,30063
6762,30061,30089
6765,30063,30081
6766,30063,30089
6798,30085,30091
6799,30085,30105
6800,30085,38053
6807,30091,38023
6822,30109,38033
6823,30109,38053
6836,31003,31119
6838,31003,31183
6841,31005,31075
6848,31007,31123
6849,31007,31157
6851,31007,56021
6866,31013,31045
6867,31013,31123
6868,31013,31157
6869,31013,31161
6870,31013,31165
6873,31015,31103
6875,31015,31149
6877,31015,46053
6884,31019,31041
6885,31019,31047
6888,31019,31099
6890,31019,31163
6893,31021,31053
6895,31021,31177
6897,31023,31037
6898,31023,31053
6901,31023,31143
6902,31023,31155
6904,31023,31185
6907,31025,31131
6908,31025,31153
6909,31025,31155
6914,31027,31179
6915,31027,46027
6916,31027,46135
6919,31029,31085
6944,31037,31053
6946,31037,31167
6953,31041,31047
6955,31041,31111
6957,31041,31115
6958,31041,31163
6959,31041,31175
6965,31045,31161
6966,31045,31165
6970,31047,31063
6972,31047,31111
6985,31053,31155
6986,31053,31177
6995,31059,31095
6996,31059,31129
7000,31059,31185
7003,31061,31099
7005,31061,31181
7007,31063,31065
7009,31063,31085
7011,31063,31111
7019,31067,31095
7022,31067,31131
7023,31067,31133
7039,31075,31161
7059,31085,31111
7086,31099,31181
7092,31103,31149
7093,31103,46053
7116,31115,31149
7122,31119,31167
7123,31119,31179
7129,31123,31157
7130,31123,31161
7139,31129,31181
7142,31133,31147
7153,31143,31185
7162,31153,31155
7165,31157,31165
7172,31163,31175
7178,31167,31179
7184,31175,31183
7192,32001,32019
7193,32001,32021
7196,32001,32031
7204,32007,32011
7207,32007,32033
7208,32007,49003
7211,32009,32021
7216,32011,32033
7228,32017,32033
7229,32017,49001
7230,32017,49021
7231,32017,49027
7232,32017,49053
7234,32019,32021
7236,32019,32031
7249,32031,41025
7252,32033,49023
7253,32033,49027
7257,33001,33003
7258,33001,33009
7259,33001,33013
7260,33001,33017
7263,33003,33009
7264,33003,33017
7266,33005,33011
7267,33005,33019
7273,33009,33013
7274,33009,33019
7278,33009,50027
7280,33011,33013
7282,33011,33019
7285,33013,33017
7286,33013,33019
7292,33019,50027
7301,34003,34013
7302,34003,34017
7305,34003,36061
7306,34003,36087
7309,34005,34007
7310,34005,34021
7313,34005,42017
7314,34005,42101
7317,34007,42101
7324,34013,34017
7335,34017,36061
7336,34017,36085
7347,34021,42017
7379,34041,42017
7380,34041,42089
7391,35003,35051
7406,35007,35021
7407,35007,35033
7408,35007,35055
7411,35009,35037
7412,35009,35041
7413,35009,48017
7415,35009,48369
7442,35021,35033
7443,35021,35037
7447,35023,35029
7449,35025,35041
7451,35025,48079
7452,35025,48165
7453,35025,48301
7462,35028,35039
7464,35028,35049
7466,35029,35051
7471,35033,35039
7473,35033,35049
7474,35033,35055
7481,35037,35041
7485,35037,48205
7486,35037,48359
7490,35039,35049
7491,35039,35055
7493,35041,48017
7494,35041,48079
7504,35049,35057
7512,35057,35061
7546,36009,36029
7547,36009,36121
7548,36009,42083
7590,36025,36039
7592,36025,36095
7594,36025,36111
7603,36029,36121
7605,36031,36033
7608,36031,36115
7609,36031,50001
7610,36031,50007
7613,36033,36089
7626,36039,36083
7627,36039,36095
7628,36039,36111
7641,36045,36049
7642,36045,36075
7643,36045,36089
7649,36049,36065
7650,36049,36075
7651,36049,36089
7668,36057,36091
7669,36057,36093
7670,36057,36095
7676,36061,36081
7680,36065,36075
7685,36069,36099
7686,36069,36101
7688,36069,36123
7703,36081,36085
7705,36083,36091
7706,36083,36115
7707,36083,50003
7713,36091,36093
7715,36091,36115
7717,36093,36095
7720,36097,36099
7721,36097,36101
7723,36097,36123
7727,36099,36123
7729,36101,36123
7747,36115,50001
7748,36115,50003
7749,36115,50021
7755,37001,37033
7756,37001,37037
7763,37003,37035
7773,37007,37153
7774,37007,37167
7776,37007,45025
7777,37007,45069
7804,37015,37187
7806,37017,37047
7807,37017,37051
7808,37017,37141
7809,37017,37155
7810,37017,37163
7812,37019,37047
7814,37019,37141
7818,37021,37089
7820,37021,37115
7841,37029,37053
7842,37029,37073
7844,37029,37177
7845,37029,51550
7857,37033,51083
7859,37033,51590
7866,37037,37105
7867,37037,37125
7885,37045,37071
7888,37045,45021
7889,37045,45091
7891,37047,37141
7892,37047,37155
7897,37049,37107
7898,37049,37137
7903,37051,37125
7904,37051,37155
7905,37051,37163
7908,37053,37177
7909,37053,51550
7920,37057,37159
7921,37057,37167
7942,37065,37127
7961,37071,37119
7962,37071,45091
7971,37075,37173
7972,37075,47009
7973,37075,47123
7981,37079,37107
7983,37079,37191
8012,37089,45045
8022,37095,37137
8023,37095,37177
8024,37095,37187
8033,37099,37173
8035,37099,45073
8037,37101,37127
8038,37101,37163
8040,37101,37191
8046,37105,37125
8049,37107,37191
